Year,Name of test,Descriptor,Geographical region,Sex,Value
2022,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,69.0
2023,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,61.6
2024,Grade 6 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,75.6
2019,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,59.4
2022,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,50.2
2023,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,48.5
2024,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,67.6
2019,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,50.3
2022,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,41.4
2023,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,39.2
2024,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Male,59.2
2019,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,68.7
2022,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,59.4
2023,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,58.0
2024,Grade 5 Primary Exit Profile (Language Arts),Proportion of Students Proficient and Highly Provicient Levels,,Female,76.2
2019,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,49.0
2022,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,42.3
2023,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,25.3
2024,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,Jamaica,,46.7
2019,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,43.3
2022,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,37.4
2023,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,22.6
2024,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Male,40.6
2019,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,54.7
2022,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,47.3
2023,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,28.0
2024,Grade 5 Primary Exit Profile (Mathematics),Proportion of Students Proficient and Highly Provicient Levels,,Female,52.9
2022,Percentage of children who correctly read 90% of words in a story,,Grade 2-3,Male,45.0
2022,Percentage of children who correctly read 90% of words in a story,,Grade 2-3,Male,37.1
2022,Percentage of children who correctly read 90% of words in a story,,Grade 2-3,Male,37.6
2022,Percentage of children who correctly read 90% of words in a story,,Grade 2-3,Male,34.6
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 2-3,Female,54.1
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 2-3,Female,47.7
2022,Percentage of children who successfully completed tasks of Addition,,Grade 2-3,Female,47.4
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 2-3,Female,44.7
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 2-3,Total,50.4
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 2-3,Total,43.3
2022,Percentage of children who successfully completed tasks of Addition,,Grade 2-3,Total,43.3
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 2-3,Total,40.5
2022,Percentage of children who successfully completed tasks of Number Reading,,Grade 6,Male,82
2022,Percentage of children who successfully completed tasks of Number Discrimination,,Grade 6,Male,67.9
2022,Percentage of children who successfully completed tasks of Addition,,Grade 6,Male,80
2022,Percentage of children who successfully completed tasks of Pattern recognition and completion,,Grade 6,Male,67.6
