Year,Form of Violence,Partner Status,Geographical Region,Group,Age Group,Educational Status,Age at First Union,Value
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Previously married/partnered,,,,1.2
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Lowest,,,,1.7
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Second,,,,1.4
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Middle,,,,2.2
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Fourth,,,,2.0
2021,Sexual Violence,Intimate Partner during Last 12 Months,,Highest,,,,1.1
2021,Any type of Violence,Intimate Partner during Last 12 Months,KMA,,,,,18.8
2021,Any type of Violence,Intimate Partner during Last 12 Months,Other Urban Centres,,,,,16.3
2021,Any type of Violence,Intimate Partner during Last 12 Months,Rural,,,,,16.5
2021,Any type of Violence,Intimate Partner during Last 12 Months,,,15-24,,,15.4
2021,Any type of Violence,Intimate Partner during Last 12 Months,,,25-34,,,13.0
2021,Any type of Violence,Intimate Partner during Last 12 Months,,,35-49,,,20.8
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Legally married,,,,19.7
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Common-law union,,,,14.6
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Visiting relationship,,,,18.3
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Previously married/partnered,,,,15.3
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Lowest,,,,14.4
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Second,,,,18.0
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Middle,,,,20.6
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Fourth,,,,16.4
2021,Any type of Violence,Intimate Partner during Last 12 Months,,Highest,,,,15.0
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,Jamaica,,,,,6.0
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,KMA,,,,,6.2
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,Other Urban Centres,,,,,5.6
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,Rural,,,,,6.2
2021,Physical or Sexual Violence,Intimate Partner during Last 12 Months,,,15-24,,,4.9
