Year,Event,Units,Value
2021,Homeless due to fire - St. Thomas,Number,36
2022,Homeless due to fire - St. Thomas,Number,68
2019,Homeless due to fire - Portland,Number,81
2020,Homeless due to fire - Portland,Number,48
2021,Homeless due to fire - Portland,Number,84
2022,Homeless due to fire - Portland,Number,47
2019,Homeless due to fire - St Mary,Number,56
2020,Homeless due to fire - St Mary,Number,48
2021,Homeless due to fire - St Mary,Number,87
2022,Homeless due to fire - St Mary,Number,89
2019,Homeless due to fire - St Ann,Number,182
2020,Homeless due to fire - St Ann,Number,59
2021,Homeless due to fire - St Ann,Number,63
2022,Homeless due to fire - St Ann,Number,106
2019,Homeless due to fire - Trelawny,Number,41
2020,Homeless due to fire - Trelawny,Number,29
2021,Homeless due to fire - Trelawny,Number,32
2022,Homeless due to fire - Trelawny,Number,61
2019,Homeless due to fire - St James,Number,161
2020,Homeless due to fire - St James,Number,133
2021,Homeless due to fire - St James,Number,198
2022,Homeless due to fire - St James,Number,139
2019,Homeless due to fire - Hanover,Number,51
2020,Homeless due to fire - Hanover,Number,35
2021,Homeless due to fire - Hanover,Number,33
2022,Homeless due to fire - Hanover,Number,26
2019,Homeless due to fire - Westmoreland,Number,110
2020,Homeless due to fire - Westmoreland,Number,117
2021,Homeless due to fire - Westmoreland,Number,123
2022,Homeless due to fire - Westmoreland,Number,208
2019,Homeless due to fire - St Elizabeth,Number,127
2020,Homeless due to fire - St Elizabeth,Number,68
2021,Homeless due to fire - St Elizabeth,Number,55
2022,Homeless due to fire - St Elizabeth,Number,56
2019,Homeless due to fire - Manchester,Number,94
2020,Homeless due to fire - Manchester,Number,100
2021,Homeless due to fire - Manchester,Number,119
2022,Homeless due to fire - Manchester,Number,81
2019,Homeless due to fire - Clarendon,Number,105
2020,Homeless due to fire - Clarendon,Number,101
2021,Homeless due to fire - Clarendon,Number,145
2022,Homeless due to fire - Clarendon,Number,82
2019,Homeless due to fire - St Catherine,Number,394
2020,Homeless due to fire - St Catherine,Number,150
2021,Homeless due to fire - St Catherine,Number,165
2022,Homeless due to fire - St Catherine,Number,178
2019,Homeless due to fire - Total,Number,2317
2020,Homeless due to fire - Total,Number,1676
2021,Homeless due to fire - Total,Number,1773
2022,Homeless due to fire - Total,Number,1746
2019,Homeless Adults due to fire - Total Adults,Number,1532
2020,Homeless Adults due to fire - Total Adults,Number,1194
2021,Homeless Adults due to fire - Total Adults,Number,1271
2022,Homeless Adults due to fire - Total Adults,Number,1215
2019,Homeless Children due to fire - Total Children,Number,785
2020,Homeless Children due to fire - Total Children,Number,482
2021,Homeless Children due to fire - Total Children,Number,502
2022,Homeless Children due to fire - Total Children,Number,531
2019,Injuried Adults due to fire - Total Adults,Number,58
2020,Injuried Adults due to fire - Total Adults,Number,72
2021,Injuried Adults due to fire - Total Adults,Number,82
2022,Injuried Adults due to fire - Total Adults,Number,47
2019,Injuries Children due to fire - Total Children,Number,2
2020,Injuries Children due to fire - Total Children,Number,17
2021,Injuries Children due to fire - Total Children,Number,4
2022,Injuries Children due to fire - Total Children,Number,2
2019,Death of Adults due to Fire - Total Adults,Number,28
2020,Death of Adults due to Fire - Total Adults,Number,28
2021,Death of Adults due to Fire - Total Adults,Number,39
2022,Death of Adults due to Fire - Total Adults,Number,17
2019,Death of Children due to Fire - Total Children,Number,7
2020,Death of Children due to Fire - Total Children,Number,3
2021,Death of Children due to Fire - Total Children,Number,3
2022,Death of Children due to Fire - Total Children,Number,7
2015,Total number of homeless due to fire - Jamaica,Number,2136
2016,Total number of homeless due to fire - Jamaica,Number,2104
2017,Total number of homeless due to fire - Jamaica,Number,2390
2018,Total number of homeless due to fire - Jamaica,Number,2338
2019,Total number of homeless due to fire - Jamaica,Number,2317
2020,Total number of homeless due to fire - Jamaica,Number,1676
2021,Total number of homeless due to fire - Jamaica,Number,1773
2022,Total number of homeless due to fire - Jamaica,Number,1746
2015,Injuries due to fire - Jamaica,Number,87
2016,Injuries due to fire - Jamaica,Number,90
2017,Injuries due to fire - Jamaica,Number,75
2018,Injuries due to fire - Jamaica,Number,97
2019,Injuries due to fire - Jamaica,Number,60
2020,Injuries due to fire - Jamaica,Number,89
2021,Injuries due to fire - Jamaica,Number,86
2022,Injuries due to fire - Jamaica,Number,49
2015,Death due to Fire - Jamaica,Number,22
2016,Death due to Fire - Jamaica,Number,38
2017,Death due to Fire - Jamaica,Number,25
2018,Death due to Fire - Jamaica,Number,39
2019,Death due to Fire - Jamaica,Number,35
2020,Death due to Fire - Jamaica,Number,31
2021,Death due to Fire - Jamaica,Number,42
2022,Death due to Fire - Jamaica,Number,24
2015,Total Number of Persons Affected - Jamaica,Number,2245
2016,Total Number of Persons Affected - Jamaica,Number,2232
2017,Total Number of Persons Affected - Jamaica,Number,2490
2018,Total Number of Persons Affected - Jamaica,Number,2474
2019,Total Number of Persons Affected - Jamaica,Number,2412
2020,Total Number of Persons Affected - Jamaica,Number,1796
2021,Total Number of Persons Affected - Jamaica,Number,1901
2022,Total Number of Persons Affected - Jamaica,Number,1819
2015,"Persons affected per 100,000 population - Jamaica",Number,82.2
2016,"Persons affected per 100,000 population - Jamaica",Number,81.7
2017,"Persons affected per 100,000 population - Jamaica",Number,91.1
2018,"Persons affected per 100,000 population - Jamaica",Number,90.5
2019,"Persons affected per 100,000 population - Jamaica",Number,88.3
2020,"Persons affected per 100,000 population - Jamaica",Number,65.7
2021,"Persons affected per 100,000 population - Jamaica",Number,69.6
2022,"Persons affected per 100,000 population - Jamaica",Number,66.6
2015,"Persons injured due to fire per 100,000 - Jamaica",Number,3.2
2016,"Persons injured due to fire per 100,000 - Jamaica",Number,3.3
2017,"Persons injured due to fire per 100,000 - Jamaica",Number,2.7
2018,"Persons injured due to fire per 100,000 - Jamaica",Number,3.5
2019,"Persons injured due to fire per 100,000 - Jamaica",Number,2.2
2020,"Persons injured due to fire per 100,000 - Jamaica",Number,3.3
2021,"Persons injured due to fire per 100,000 - Jamaica",Number,3.1
2022,"Persons injured due to fire per 100,000 - Jamaica",Number,1.8
2015,"Deaths from fire per 100,000 population - Jamaica",Number,0.81
2016,"Deaths from fire per 100,000 population - Jamaica",Number,1.39
2017,"Deaths from fire per 100,000 population - Jamaica",Number,0.92
2018,"Deaths from fire per 100,000 population - Jamaica",Number,1.43
2019,"Deaths from fire per 100,000 population - Jamaica",Number,1.28
2020,"Deaths from fire per 100,000 population - Jamaica",Number,1.13
2021,"Deaths from fire per 100,000 population - Jamaica",Number,1.54
2022,"Deaths from fire per 100,000 population - Jamaica",Number,0.88
2023,"Deaths from fire per 100,000 population - Jamaica",Number,1.17
2024,"Deaths from fire per 100,000 population - Jamaica",Number,0.99
