Financial soundness indicators,Financial soundness indicators-deposit-taking institution,Institution Type,Value,Year
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,16.2,2019
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,18.0,2020
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,19.1,2021
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,20.0,2022
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,19.3,2023
Financial soundness indicators,Regulatory capital to risk-weighted assets,Securities Dealers,19.6,2024
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,21.5,2015
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,20.5,2016
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,19.0,2017
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,19.8,2018
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,21.4,2019
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,22.3,2020
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,23,2021
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,21.2,2022
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,20.8,2023
Financial soundness indicators,Tier 1 capital to risk-weighted assets,Securities Dealers,20.2,2024
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.6,2015
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.1,2016
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.0,2017
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,-0.4,2018
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.3,2019
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.3,2020
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.5,2021
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.8,2022
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,0.7,2023
Financial soundness indicators,Non-performing loans (net) to capital,Securities Dealers,1.1,2024
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,21.2,2015
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,4.5,2016
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,3.6,2017
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,0.6,2018
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,4.1,2019
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,2.4,2020
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,0.8,2021
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,0.7,2022
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,0.9,2023
Financial soundness indicators,Non-performing loans to total loans,Securities Dealers,1.5,2024
Financial soundness indicators,Return on assets,Securities Dealers,0.4,2015
Financial soundness indicators,Return on assets,Securities Dealers,0.6,2016
Financial soundness indicators,Return on assets,Securities Dealers,0.7,2017
Financial soundness indicators,Return on assets,Securities Dealers,0.5,2018
Financial soundness indicators,Return on assets,Securities Dealers,4.5,2019
Financial soundness indicators,Return on assets,Securities Dealers,1.8,2020
Financial soundness indicators,Return on assets,Securities Dealers,2.4,2021
Financial soundness indicators,Return on assets,Securities Dealers,0.9,2022
Financial soundness indicators,Return on assets,Securities Dealers,0.5,2023
Financial soundness indicators,Return on assets,Securities Dealers,-0.2,2024
Financial soundness indicators,Return on equity,Securities Dealers,2.8,2015
Financial soundness indicators,Return on equity,Securities Dealers,4.5,2016
Financial soundness indicators,Return on equity,Securities Dealers,5.2,2017
Financial soundness indicators,Return on equity,Securities Dealers,3.9,2018
Financial soundness indicators,Return on equity,Securities Dealers,31.0,2019
Financial soundness indicators,Return on equity,Securities Dealers,11.2,2020
Financial soundness indicators,Return on equity,Securities Dealers,14.8,2021
Financial soundness indicators,Return on equity,Securities Dealers,5.9,2022
Financial soundness indicators,Return on equity,Securities Dealers,4.0,2023
Financial soundness indicators,Return on equity,Securities Dealers,-1.7,2024
Financial soundness indicators,Interest margin to income,Securities Dealers,30.9,2015
Financial soundness indicators,Interest margin to income,Securities Dealers,25.8,2016
Financial soundness indicators,Interest margin to income,Securities Dealers,24.5,2017
Financial soundness indicators,Interest margin to income,Securities Dealers,22.7,2018
Financial soundness indicators,Interest margin to income,Securities Dealers,16.8,2019
Financial soundness indicators,Interest margin to income,Securities Dealers,20.1,2020
Financial soundness indicators,Interest margin to income,Securities Dealers,19.2,2021
Financial soundness indicators,Interest margin to income,Securities Dealers,14.3,2022
Financial soundness indicators,Interest margin to income,Securities Dealers,6.5,2023
Financial soundness indicators,Interest margin to income,Securities Dealers,10.5,2024
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,29.4,2015
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,32.1,2016
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,35.5,2017
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,45.7,2018
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,31.5,2019
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,42.6,2020
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,38.2,2021
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,41.5,2022
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,37.3,2023
Financial soundness indicators,Non-interest expenses to income,Securities Dealers,42.4,2024
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,12.4,2015
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,12.3,2016
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,15.9,2017
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,14.6,2018
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,16.8,2019
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,14.6,2020
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,13.4,2021
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,13.2,2022
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,14.5,2023
Financial soundness indicators,Liquid assets to total assets,Securities Dealers,18.5,2024
Financial soundness indicators,Duration on assets -Domestic Bonds,Securities Dealers,1.4,2015
Financial soundness indicators,Duration on assets -Domestic Bonds,Securities Dealers,2.6,2016
Financial soundness indicators,Duration on assets -Domestic Bonds,Securities Dealers,3.6,2017
Financial soundness indicators,Duration on assets -Domestic Bonds,Securities Dealers,3.2,2018
Financial soundness indicators,Duration on assets -Domestic Bonds,Securities Dealers,3.8,2019
Financial soundness indicators,Duration on assets- Global Bonds,Securities Dealers,5.1,2015
Financial soundness indicators,Duration on assets- Global Bonds,Securities Dealers,8.1,2016
Financial soundness indicators,Duration on assets- Global Bonds,Securities Dealers,10.3,2017
Financial soundness indicators,Duration on assets- Global Bonds,Securities Dealers,10.2,2018
Financial soundness indicators,Duration on assets- Global Bonds,Securities Dealers,10.3,2019
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,11.8,2015
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,23.6,2016
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,14.9,2017
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,11.4,2018
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,-13.3,2019
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,7.8,2020
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,-6.4,2021
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,-3.3,2022
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,24.8,2023
Financial soundness indicators,NOP to capital (Regulatory),Securities Dealers,25.7,2024
Financial soundness indicators,Net premium to Capital,General Insurance,20.6,2015
Financial soundness indicators,Net premium to Capital,General Insurance,28,2016
Financial soundness indicators,Net premium to Capital,General Insurance,21.7,2017
Financial soundness indicators,Net premium to Capital,General Insurance,24.6,2018
Financial soundness indicators,Net premium to Capital,General Insurance,27,2019
Financial soundness indicators,Net premium to Capital,General Insurance,22.9,2020
Financial soundness indicators,Net premium to Capital,General Insurance,23.4,2021
Financial soundness indicators,Net premium to Capital,General Insurance,18.4,2022
Financial soundness indicators,Capital to Assets,General Insurance,29.6,2015
Financial soundness indicators,Capital to Assets,General Insurance,29.7,2016
Financial soundness indicators,Capital to Assets,General Insurance,30.3,2017
Financial soundness indicators,Capital to Assets,General Insurance,29.3,2018
Financial soundness indicators,Capital to Assets,General Insurance,25.6,2019
Financial soundness indicators,Capital to Assets,General Insurance,25.5,2020
Financial soundness indicators,Capital to Assets,General Insurance,23.5,2021
Financial soundness indicators,Capital to Assets,General Insurance,23.1,2022
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,6.9,2015
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,7,2016
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,27.7,2017
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,28.2,2018
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,31.9,2019
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,32.9,2020
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,34.4,2021
Financial soundness indicators,(Real estate + unquoted equities + debtors) to total assets,General Insurance,39.2,2022
Financial soundness indicators,Receivables to gross premiums,General Insurance,32.9,2015
Financial soundness indicators,Receivables to gross premiums,General Insurance,46.3,2016
Financial soundness indicators,Receivables to gross premiums,General Insurance,204.2,2017
Financial soundness indicators,Receivables to gross premiums,General Insurance,190.4,2018
Financial soundness indicators,Receivables to gross premiums,General Insurance,205.1,2019
Financial soundness indicators,Receivables to gross premiums,General Insurance,219.1,2020
Financial soundness indicators,Receivables to gross premiums,General Insurance,262.2,2021
Financial soundness indicators,Receivables to gross premiums,General Insurance,308.3,2022
Financial soundness indicators,Equities to total assets,General Insurance,1.9,2015
Financial soundness indicators,Equities to total assets,General Insurance,2.5,2016
Financial soundness indicators,Equities to total assets,General Insurance,3.1,2017
Financial soundness indicators,Equities to total assets,General Insurance,3.6,2018
Financial soundness indicators,Equities to total assets,General Insurance,4.2,2019
Financial soundness indicators,Equities to total assets,General Insurance,2.8,2020
Financial soundness indicators,Equities to total assets,General Insurance,2.6,2021
Financial soundness indicators,Equities to total assets,General Insurance,2.1,2022
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,429.8,2015
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,346,2016
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,376.5,2017
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,418.6,2018
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,378.8,2019
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,328.9,2020
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,306.6,2021
Financial soundness indicators,Net technical reserves to net claims paid in last 3 years,General Insurance,231.5,2022
Financial soundness indicators,Return on assets,,0.6,2018
Financial soundness indicators,Return on assets,,0.6,2019
Financial soundness indicators,Return on assets,,43.3,2022
Financial soundness indicators,Return on assets,,34.3,2023
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,39.7,2015
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,70.3,2016
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,53.1,2017
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,53.7,2018
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,47.9,2019
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,41.5,2020
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,43.3,2021
Financial soundness indicators,Risk retention ratio (net premium to gross premium),General Insurance,34.3,2022
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,8.4,2015
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,7.3,2016
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,8.0,2017
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,0.6,2018
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,10.4,2019
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,10.8,2020
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,10.7,2021
Financial soundness indicators,Gross premium to number of employees J$(000),General Insurance,11.5,2022
Financial soundness indicators,Assets per employee J$(000),General Insurance,54.9,2015
Financial soundness indicators,Assets per employee J$(000),General Insurance,61.4,2016
Financial soundness indicators,Assets per employee J$(000),General Insurance,64.9,2017
Financial soundness indicators,Assets per employee J$(000),General Insurance,67.7,2018
Financial soundness indicators,Assets per employee J$(000),General Insurance,71.7,2019
Financial soundness indicators,Assets per employee J$(000),General Insurance,77.0,2020
Financial soundness indicators,Assets per employee J$(000),General Insurance,84.7,2021
Financial soundness indicators,Assets per employee J$(000),General Insurance,92.7,2022
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,53.7,2015
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,56.2,2016
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,65.6,2017
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,52.9,2018
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,57.1,2019
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,55.8,2020
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,68.7,2021
Financial soundness indicators,Net Claims to net premium (loss ratio),General Insurance,62.4,2022
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,98.3,2015
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,97.1,2016
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,99.8,2017
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,81.4,2018
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,89.8,2019
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,94.5,2020
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,102.4,2021
Financial soundness indicators,Total expenses to net premium (expense ratio),General Insurance,89.4,2022
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,152,2015
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,153.4,2016
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,165.3,2017
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,134.4,2018
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,146.9,2019
Financial soundness indicators,Combined ratio (loss + expense ratio),General Insurance,150.4,2020
